catno,description,title
L4600,A unique collection of Selected plant-sourced compounds including 974 products that derived from 277 plant species.,Selected plant-sourced compound Library

L1100,"Contains 162 small molecule inhibitors related with protease and proteasome, for scientific research and drug screening.",Protease Inhibitor Library

L4900,"A specific collection of 132 cardiotoxicity compounds , contain compounds with defined and diverse organ-associated toxicity profiles. A variety of structurally and mechanistically different compound classes are included.",Cardiotoxicity Compound Library

L7000,The Bioactive Lipid Library contains 213 bioactive lipids aliquoted to 96-well plates.,Bioactive Lipid Inbibitor Library

L3200,"A unique collection of 623 compounds related with cell autophagy, used in the study of autophagy, HTS, HCS.",Autophagy Compound Library

L9000,"Apoptosis Compound Library contains 191 compounds related with apoptosis signaling pathways, which are most used in tumorigenesis and anti-cancer drug screening.",Apoptosis Compound Library

L1700,Contains 157 kinds of molecular for drug research and other Pharmaceutical development fields.,Anti-virus Compound Library

L5200,A unique collection of 816 compounds focused on metabolism disease and potential targeted small molecular inhibitors to advancer your metabolism research.,Anti-Metabolism disease Compound Library

L1800,"Anti-infection Compound library contains 605 kinds of antiviral, antibacterial and antiparasitic drugs for HTS and HCS, as well as drug target and other Pharmaceutical development fields.",Anti-infection Compound Library

L4500,A unique collection of 66 antifungal small molecules for high throughput screening including drugs that act on the fungal induced disease and products that target for antifungal related receptors.,Antifungal Compound Library

L1900,"Anti-diabetic Library contains 179 bioactive compounds aliquoted to 96-well plates, ideal for screening and neurodegenerative diseases' mechanism research.",Anti-diabetic Compound Library

L5400,A comprehensive screening library of  515 compounds to enable analysis of the cellular response to novel therapeutics for cardiovascular medicine and discovery the drug for cardiovascular disease.,Anti-Cardiovascular disease Compound Library

L2100,"A unique collection of 2723 tumor associated compounds, used in cancer related research and drug screening for high throughput screening, high content screening.",Anti-cancer compound library

L2110,"A unique collection of 219 approved drugs in treatment of cancer used in cancer related research and drug screening for HTS,HCS.",Anti-cancer approved drug library

L4400,"A collection of 250 specific compounds with defined antibiotic properties for drug screening, drug target identification, and other pharmaceutical-related applications.",Antibiotics Library

L4800,"A unique collection of 378 potential compounds that related to angiogenesis and can be used for explore of the drug target development and angiogenesis research HTS, HCS.",Angiogenesis related compound library

L8000,Stem Cell Library contains 340 small molecular compounds used for stem cell signaling pathway research and new drug screening.,Stem cell Differentiation Compound Library

L6000,"Contains more than 1500 compounds in natural compound library, from the nature of biological separation, extraction of organic compounds in the body.",Natural Compound Library

L1600,"Contains 773 kinds of kinase inhibitors, targeted for specific protein kinase for high-throughput screening and high content screening.",Kinase Inhibitor library

L2000,"Contains over 3010 active compounds,which can be used in not only specific research but also high-throughput screening and high-content screening.",Inhibitor Library

L4200,1124 FDA-approved drugs,FDA-approved Drug Library

L3400,"A unique collection of 856  compounds, all of which have been permitted into clinical phase. Every compound contains detailed information on pharmacological activities, sources and references etc.",Clinical Compound Library

L4000,"Contains more than 4413 small molecule compounds, pays more attention on their targets. All compounds have targets description, which is the key point to  drug screening.",Bioactive Compound Library

L1000,"1818 approved drugs are used to discover their more function, suitable for old drug research, new targets mechanism and positive compound comparison and so on.",Approved Drug Library

